id,nome,email,endereco
1,cliente 1,email.cliente1@gmail.com,endereco 1
2,cliente 2,email.cliente2@gmail.com,endereco 2
3,cliente 3,email.cliente3@gmail.com,endereco 3
4,cliente 4,email.cliente4@gmail.com,endereco 4
5,cliente 5,email.cliente5@gmail.com,endereco 5
6,cliente 6,email.cliente6@gmail.com,endereco 6
7,cliente 7,email.cliente7@gmail.com,endereco 7
8,cliente 8,email.cliente8@gmail.com,endereco 8
9,cliente 9,email.cliente9@gmail.com,endereco 9
10,cliente 10,email.cliente10@gmail.com,endereco 10
